local,site,date,habitat,replica,o2_zero,o2_pd,volume_pd,o2_resp,volume_resp,sensor,time_in,time_out,time_resp_in,time_resp_out
abrolhos,sta_barbara_norte_caldeira,2022_11_18,3,1,"6,5","7,66",250,"4,76",125,controle_1,10:40:00,12:40:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,3,2,"6,5","8,72",250,"3,06",125,controle_1,10:40:00,12:40:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,3,3,"6,5","9,09",250,"3,69",125,controle_1,10:40:00,12:40:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,3,4,"6,5","9,27",250,"3,62",125,controle_1,10:40:00,12:40:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,3,5,"6,5","7,92",250,"3,55",125,controle_1,10:40:00,12:40:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,3,6,"6,5","9,04",250,"2,57",125,controle_1,10:40:00,12:40:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,2,7,"7,375","10,13",250,"5,95",250,controle_2,10:50:00,12:50:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,2,8,"7,375","9,24",250,"2,77",125,controle_2,10:50:00,12:50:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,2,9,"7,375","9,42",250,"4,04",125,controle_2,10:50:00,12:50:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,2,10,"7,375","9,21",250,"4,73",125,controle_2,10:50:00,12:50:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,2,11,"7,375","8,26",250,"4,06",125,controle_2,10:50:00,12:50:00,13:10:00,15:10:00
abrolhos,sta_barbara_norte_caldeira,2022_11_18,2,12,"7,375","10,02",250,"5,17",125,controle_2,10:50:00,12:50:00,13:10:00,15:10:00
