"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, lum/ft² (LGR S/N: 20055113, SEN S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
1,11/22/22 08h0min0s,28.655,368.0,
2,11/22/22 08h1min0s,28.555,320.0,
3,11/22/22 08h2min0s,28.555,352.0,
4,11/22/22 08h3min0s,28.456,304.0,
5,11/22/22 08h4min0s,28.357,288.0,
6,11/22/22 08h5min0s,28.357,272.0,
7,11/22/22 08h6min0s,28.258,208.0,
8,11/22/22 08h7min0s,28.159,272.0,
9,11/22/22 08h8min0s,28.060,200.0,
10,11/22/22 08h9min0s,28.060,216.0,
11,11/22/22 08h10min0s,28.159,768.0,
12,11/22/22 08h11min0s,28.357,896.0,
13,11/22/22 08h12min0s,28.456,1152.0,
14,11/22/22 08h13min0s,28.456,672.0,
15,11/22/22 08h14min0s,28.456,272.0,
16,11/22/22 08h15min0s,27.961,496.0,
17,11/22/22 08h16min0s,27.370,576.0,
18,11/22/22 08h17min0s,27.075,464.0,
19,11/22/22 08h18min0s,26.781,352.0,
20,11/22/22 08h19min0s,26.683,704.0,
21,11/22/22 08h20min0s,26.585,496.0,
22,11/22/22 08h21min0s,26.488,576.0,
23,11/22/22 08h22min0s,26.488,464.0,
24,11/22/22 08h23min0s,26.390,608.0,
25,11/22/22 08h24min0s,26.488,416.0,
26,11/22/22 08h25min0s,26.390,512.0,
27,11/22/22 08h26min0s,26.390,480.0,
28,11/22/22 08h27min0s,26.390,448.0,
29,11/22/22 08h28min0s,26.390,480.0,
30,11/22/22 08h29min0s,26.390,512.0,
31,11/22/22 08h30min0s,26.390,464.0,
32,11/22/22 08h31min0s,26.390,432.0,
33,11/22/22 08h32min0s,26.390,464.0,
34,11/22/22 08h33min0s,26.390,576.0,
35,11/22/22 08h34min0s,26.488,3072.0,
36,11/22/22 08h35min0s,26.488,496.0,
37,11/22/22 08h36min0s,26.488,576.0,
38,11/22/22 08h37min0s,26.488,480.0,
39,11/22/22 08h38min0s,26.488,608.0,
40,11/22/22 08h39min0s,26.488,576.0,
41,11/22/22 08h40min0s,26.488,672.0,
42,11/22/22 08h41min0s,26.488,1984.0,
43,11/22/22 08h42min0s,26.585,512.0,
44,11/22/22 08h43min0s,26.488,608.0,
45,11/22/22 08h44min0s,26.488,608.0,
46,11/22/22 08h45min0s,26.488,704.0,
47,11/22/22 08h46min0s,26.488,704.0,
48,11/22/22 08h47min0s,26.488,864.0,
49,11/22/22 08h48min0s,26.488,864.0,
50,11/22/22 08h49min0s,26.488,800.0,
51,11/22/22 08h50min0s,26.488,1152.0,
52,11/22/22 08h51min0s,26.488,1152.0,
53,11/22/22 08h52min0s,26.585,1216.0,
54,11/22/22 08h53min0s,26.585,1024.0,
55,11/22/22 08h54min0s,26.585,1344.0,
56,11/22/22 08h55min0s,26.683,1664.0,
57,11/22/22 08h56min0s,26.683,1280.0,
58,11/22/22 08h57min0s,26.683,1280.0,
59,11/22/22 08h58min0s,26.683,1216.0,
60,11/22/22 08h59min0s,26.683,1664.0,
61,11/22/22 09h0min0s,26.683,480.0,
62,11/22/22 09h1min0s,26.585,368.0,
63,11/22/22 09h2min0s,26.585,1536.0,
64,11/22/22 09h3min0s,26.683,1664.0,
65,11/22/22 09h4min0s,26.585,448.0,
66,11/22/22 09h5min0s,26.585,480.0,
67,11/22/22 09h6min0s,26.488,608.0,
68,11/22/22 09h7min0s,26.488,1216.0,
69,11/22/22 09h8min0s,26.488,480.0,
70,11/22/22 09h9min0s,26.488,480.0,
71,11/22/22 09h10min0s,26.488,400.0,
