"Título do Desenho: agua"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055112, SEN S/N: 20055112)","Intensidade, Lux (LGR S/N: 20055112, SEN S/N: 20055112)","Acoplador Ligado (LGR S/N: 20055112)","Anfitrião Ligado (LGR S/N: 20055112)","Parado (LGR S/N: 20055112)","Fim Do Ficheiro (LGR S/N: 20055112)"
1,11/17/22 11h0min0s,26.000,3272.2,,,,
2,11/17/22 11h30min0s,35.756,57867.0,,,,
3,11/17/22 12h0min0s,26.390,53.8,,,,
4,11/17/22 12h30min0s,27.075,13089.0,,,,
5,11/17/22 01h0min0s,27.075,14466.8,,,,
6,11/17/22 01h30min0s,26.977,9644.5,,,,
7,11/17/22 02h0min0s,27.075,8611.2,,,,
8,11/17/22 02h30min0s,27.272,1894.5,,,,
9,11/17/22 03h0min0s,25.416,710.4,,,,
10,11/17/22 03h30min0s,26.000,818.1,,,,
11,11/17/22 04h0min0s,26.585,538.2,,,,
12,11/17/22 04h30min0s,26.292,495.1,,,,
13,11/17/22 05h0min0s,26.683,462.9,,,,
14,11/17/22 05h30min0s,26.781,215.3,,,,
15,11/17/22 06h0min0s,26.683,172.2,,,,
16,11/17/22 06h30min0s,26.585,86.1,,,,
17,11/17/22 07h0min0s,26.585,64.6,,,,
18,11/17/22 07h30min0s,26.390,64.6,,,,
19,11/17/22 07h46min49s,,,Registado,Registado,,
20,11/17/22 07h47min1s,,,,,Registado,Registado
