"Título do Desenho: ar"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055108, SEN S/N: 20055108)","Intensidade, Lux (LGR S/N: 20055108, SEN S/N: 20055108)","Acoplador Ligado (LGR S/N: 20055108)","Anfitrião Ligado (LGR S/N: 20055108)","Parado (LGR S/N: 20055108)","Fim Do Ficheiro (LGR S/N: 20055108)"
1,11/17/22 11h0min0s,31.268,104711.8,,,,
2,11/17/22 11h10min0s,32.497,132267.5,,,,
3,11/17/22 11h20min0s,32.291,115734.1,,,,
4,11/17/22 11h30min0s,33.639,110223.0,,,,
5,11/17/22 11h40min0s,32.497,85422.8,,,,
6,11/17/22 11h50min0s,33.326,93689.5,,,,
7,11/17/22 12h0min0s,34.691,110223.0,,,,
8,11/17/22 12h10min0s,36.403,137778.7,,,,
9,11/17/22 12h20min0s,37.714,137778.7,,,,
10,11/17/22 12h30min0s,36.079,143289.8,,,,
11,11/17/22 12h40min0s,35.542,110223.0,,,,
12,11/17/22 12h50min0s,34.163,110223.0,,,,
13,11/17/22 01h0min0s,36.079,154312.1,,,,
14,11/17/22 01h10min0s,35.435,121245.2,,,,
15,11/17/22 01h20min0s,33.953,126756.4,,,,
16,11/17/22 01h30min0s,35.756,93689.5,,,,
17,11/17/22 01h40min0s,35.328,99200.7,,,,
18,11/17/22 01h50min0s,34.058,93689.5,,,,
19,11/17/22 02h0min0s,33.222,88178.4,,,,
20,11/17/22 02h10min0s,33.639,88178.4,,,,
21,11/17/22 02h20min0s,33.848,82667.2,,,,
22,11/17/22 02h30min0s,33.222,85422.8,,,,
23,11/17/22 02h40min0s,31.880,71644.9,,,,
24,11/17/22 02h50min0s,28.258,28933.5,,,,
25,11/17/22 03h0min0s,27.075,28933.5,,,,
26,11/17/22 03h10min0s,26.292,30311.3,,,,
27,11/17/22 03h20min0s,27.370,37200.2,,,,
28,11/17/22 03h30min0s,30.154,121245.2,,,,
29,11/17/22 03h40min0s,31.268,82667.2,,,,
30,11/17/22 03h50min0s,30.054,74400.5,,,,
31,11/17/22 04h0min0s,29.552,52355.9,,,,
32,11/17/22 04h10min0s,26.488,33066.9,,,,
33,11/17/22 04h20min0s,27.272,49600.3,,,,
34,11/17/22 04h30min0s,27.567,35822.5,,,,
35,11/17/22 04h40min0s,29.053,57867.0,,,,
36,11/17/22 04h50min0s,28.655,33066.9,,,,
37,11/17/22 05h0min0s,28.159,35822.5,,,,
38,11/17/22 05h10min0s,27.272,26178.0,,,,
