"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, Lux (LGR S/N: 20055113, SEN S/N: 20055113)","Anfitrião Ligado (LGR S/N: 20055113)","Acoplador Ligado (LGR S/N: 20055113)","Parado (LGR S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
1,11/17/22 11h0min0s,26.292,581.3,,,,
2,11/17/22 11h10min0s,34.903,16533.4,,,,
3,11/17/22 11h20min0s,42.164,14466.8,,,,
4,11/17/22 11h30min0s,44.211,14466.8,,,,
5,11/17/22 11h40min0s,42.520,11711.2,,,,
6,11/17/22 11h50min0s,32.497,82667.2,,,,
7,11/17/22 12h0min0s,27.272,6200.0,,,,
8,11/17/22 12h10min0s,27.370,12400.1,,,,
9,11/17/22 12h20min0s,27.567,10677.8,,,,
10,11/17/22 12h30min0s,27.370,9644.5,,,,
11,11/17/22 12h40min0s,27.370,10333.4,,,,
12,11/17/22 12h50min0s,27.370,10677.8,,,,
13,11/17/22 01h0min0s,27.665,15155.7,,,,
14,11/17/22 01h10min0s,27.468,9644.5,,,,
15,11/17/22 01h20min0s,26.977,0.0,,,,
16,11/17/22 01h30min0s,26.585,0.0,,,,
17,11/17/22 01h40min0s,26.585,0.0,,,,
18,11/17/22 01h50min0s,26.683,0.0,,,,
19,11/17/22 02h0min0s,26.683,0.0,,,,
20,11/17/22 02h10min0s,26.781,0.0,,,,
21,11/17/22 02h20min0s,26.781,0.0,,,,
22,11/17/22 02h30min0s,26.585,10.8,,,,
23,11/17/22 02h40min0s,26.390,0.0,,,,
24,11/17/22 02h50min0s,25.902,538.2,,,,
25,11/17/22 03h0min0s,25.610,828.8,,,,
26,11/17/22 03h10min0s,25.222,731.9,,,,
27,11/17/22 03h20min0s,25.708,1722.2,,,,
28,11/17/22 03h30min0s,26.000,753.5,,,,
29,11/17/22 03h40min0s,26.488,1011.8,,,,
30,11/17/22 03h50min0s,26.488,828.8,,,,
31,11/17/22 04h0min0s,26.585,516.7,,,,
32,11/17/22 04h10min0s,26.390,409.0,,,,
33,11/17/22 04h20min0s,26.292,484.4,,,,
34,11/17/22 04h30min0s,26.390,452.1,,,,
35,11/17/22 04h40min0s,26.390,850.4,,,,
36,11/17/22 04h50min0s,26.585,376.7,,,,
37,11/17/22 05h0min0s,26.683,430.6,,,,
38,11/17/22 05h10min0s,26.781,269.1,,,,
39,11/17/22 05h20min0s,26.781,258.3,,,,
40,11/17/22 05h30min0s,26.781,150.7,,,,
41,11/17/22 05h40min0s,26.781,118.4,,,,
42,11/17/22 05h50min0s,26.781,118.4,,,,
43,11/17/22 06h0min0s,26.781,86.1,,,,
44,11/17/22 06h10min0s,26.781,64.6,,,,
45,11/17/22 06h20min0s,26.683,32.3,,,,
46,11/17/22 06h30min0s,26.585,10.8,,,,
47,11/17/22 06h40min0s,26.585,0.0,,,,
48,11/17/22 06h50min0s,26.488,32.3,,,,
49,11/17/22 07h0min0s,26.585,32.3,,,,
50,11/17/22 07h10min0s,26.488,32.3,,,,
51,11/17/22 07h20min0s,26.390,32.3,,,,
52,11/17/22 07h30min0s,26.390,32.3,,,,
53,11/17/22 07h40min0s,26.390,32.3,,,,
54,11/17/22 07h47min42s,,,Registado,,,
55,11/17/22 07h47min43s,,,,Registado,,
56,11/17/22 07h47min50s,,,,,Registado,Registado
