"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, Lux (LGR S/N: 20055113, SEN S/N: 20055113)","Acoplador Ligado (LGR S/N: 20055113)","Anfitrião Ligado (LGR S/N: 20055113)","Parado (LGR S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
1,11/19/22 10h0min0s,24.062,613.5,,,,
2,11/19/22 10h1min0s,24.062,581.3,,,,
3,11/19/22 10h2min0s,23.966,602.8,,,,
4,11/19/22 10h3min0s,23.966,527.4,,,,
5,11/19/22 10h4min0s,23.966,559.7,,,,
6,11/19/22 10h5min0s,23.966,602.8,,,,
7,11/19/22 10h6min0s,23.966,624.3,,,,
8,11/19/22 10h7min0s,23.966,581.3,,,,
9,11/19/22 10h8min0s,24.062,581.3,,,,
10,11/19/22 10h9min0s,24.062,570.5,,,,
11,11/19/22 10h10min0s,24.062,549.0,,,,
12,11/19/22 10h11min0s,24.158,570.5,,,,
13,11/19/22 10h12min0s,24.158,602.8,,,,
14,11/19/22 10h13min0s,24.255,581.3,,,,
15,11/19/22 10h14min0s,24.158,570.5,,,,
16,11/19/22 10h15min0s,24.158,505.9,,,,
17,11/19/22 10h16min0s,24.158,505.9,,,,
18,11/19/22 10h17min0s,24.255,452.1,,,,
19,11/19/22 10h18min0s,24.158,398.3,,,,
20,11/19/22 10h19min0s,24.158,441.3,,,,
21,11/19/22 10h20min0s,24.158,398.3,,,,
22,11/19/22 10h21min0s,24.158,441.3,,,,
23,11/19/22 10h22min0s,24.158,452.1,,,,
24,11/19/22 10h23min0s,24.062,387.5,,,,
25,11/19/22 10h24min0s,24.062,376.7,,,,
26,11/19/22 10h25min0s,24.062,366.0,,,,
27,11/19/22 10h26min0s,23.966,333.7,,,,
28,11/19/22 10h27min0s,23.966,290.6,,,,
29,11/19/22 10h28min0s,23.966,312.2,,,,
30,11/19/22 10h29min0s,23.966,301.4,,,,
31,11/19/22 10h30min0s,23.869,290.6,,,,
32,11/19/22 10h31min0s,23.869,322.9,,,,
33,11/19/22 10h32min0s,23.869,376.7,,,,
34,11/19/22 10h33min0s,23.869,333.7,,,,
35,11/19/22 10h34min0s,23.869,312.2,,,,
36,11/19/22 10h35min0s,23.869,290.6,,,,
37,11/19/22 10h36min0s,23.869,279.9,,,,
38,11/19/22 10h37min0s,23.869,269.1,,,,
39,11/19/22 10h38min0s,23.869,269.1,,,,
40,11/19/22 10h39min0s,23.869,236.8,,,,
41,11/19/22 10h40min0s,23.869,215.3,,,,
42,11/19/22 10h41min0s,23.869,204.5,,,,
43,11/19/22 10h42min0s,23.869,204.5,,,,
44,11/19/22 10h43min0s,23.869,226.0,,,,
45,11/19/22 10h44min0s,23.869,236.8,,,,
46,11/19/22 10h45min0s,23.773,247.6,,,,
47,11/19/22 10h46min0s,23.869,247.6,,,,
48,11/19/22 10h47min0s,23.869,236.8,,,,
49,11/19/22 10h48min0s,23.869,236.8,,,,
50,11/19/22 10h49min0s,23.869,226.0,,,,
51,11/19/22 10h50min0s,23.869,226.0,,,,
52,11/19/22 10h51min0s,23.869,215.3,,,,
53,11/19/22 10h52min0s,23.869,215.3,,,,
54,11/19/22 10h53min0s,23.869,193.8,,,,
55,11/19/22 10h54min0s,23.869,236.8,,,,
56,11/19/22 10h55min0s,23.869,258.3,,,,
57,11/19/22 10h56min0s,23.869,269.1,,,,
58,11/19/22 10h57min0s,23.869,258.3,,,,
59,11/19/22 10h58min0s,23.869,279.9,,,,
60,11/19/22 10h59min0s,23.869,279.9,,,,
61,11/19/22 11h0min0s,23.966,269.1,,,,
62,11/19/22 11h1min0s,23.869,258.3,,,,
63,11/19/22 11h2min0s,23.966,236.8,,,,
64,11/19/22 11h3min0s,23.966,215.3,,,,
65,11/19/22 11h4min0s,23.966,226.0,,,,
66,11/19/22 11h5min0s,23.966,226.0,,,,
67,11/19/22 11h6min0s,23.966,236.8,,,,
68,11/19/22 11h7min0s,24.062,247.6,,,,
69,11/19/22 11h8min0s,24.062,258.3,,,,
70,11/19/22 11h9min0s,24.062,258.3,,,,
71,11/19/22 11h10min0s,24.062,269.1,,,,
72,11/19/22 11h11min0s,24.062,258.3,,,,
73,11/19/22 11h12min0s,24.062,226.0,,,,
74,11/19/22 11h13min0s,24.062,247.6,,,,
75,11/19/22 11h14min0s,24.062,279.9,,,,
76,11/19/22 11h15min0s,24.062,258.3,,,,
77,11/19/22 11h16min0s,24.062,258.3,,,,
78,11/19/22 11h17min0s,24.062,269.1,,,,
79,11/19/22 11h18min0s,24.062,279.9,,,,
80,11/19/22 11h19min0s,24.062,301.4,,,,
81,11/19/22 11h20min0s,24.062,312.2,,,,
82,11/19/22 11h21min0s,24.062,312.2,,,,
83,11/19/22 11h22min0s,24.062,301.4,,,,
84,11/19/22 11h23min0s,24.062,322.9,,,,
85,11/19/22 11h24min0s,24.062,312.2,,,,
86,11/19/22 11h25min0s,24.062,322.9,,,,
87,11/19/22 11h26min0s,24.158,279.9,,,,
88,11/19/22 11h27min0s,24.158,279.9,,,,
89,11/19/22 11h28min0s,24.158,322.9,,,,
90,11/19/22 11h29min0s,24.158,333.7,,,,
91,11/19/22 11h30min0s,24.158,355.2,,,,
92,11/19/22 11h31min0s,24.158,398.3,,,,
93,11/19/22 11h32min0s,24.255,366.0,,,,
94,11/19/22 11h33min0s,24.255,376.7,,,,
95,11/19/22 11h34min0s,24.255,409.0,,,,
96,11/19/22 11h35min0s,24.255,387.5,,,,
97,11/19/22 11h36min0s,24.255,409.0,,,,
98,11/19/22 11h37min0s,24.255,409.0,,,,
99,11/19/22 11h38min0s,24.255,430.6,,,,
100,11/19/22 11h39min0s,24.255,430.6,,,,
101,11/19/22 11h40min0s,24.158,430.6,,,,
102,11/19/22 11h41min0s,24.158,473.6,,,,
103,11/19/22 11h42min0s,24.158,505.9,,,,
104,11/19/22 11h43min0s,24.158,441.3,,,,
105,11/19/22 11h44min0s,24.158,484.4,,,,
106,11/19/22 11h45min0s,24.158,527.4,,,,
107,11/19/22 11h46min0s,24.255,570.5,,,,
108,11/19/22 11h47min0s,24.255,516.7,,,,
109,11/19/22 11h48min0s,24.255,549.0,,,,
110,11/19/22 11h49min0s,24.255,592.0,,,,
111,11/19/22 11h50min0s,24.158,624.3,,,,
112,11/19/22 11h51min0s,24.255,602.8,,,,
113,11/19/22 11h52min0s,24.255,592.0,,,,
114,11/19/22 11h53min0s,24.255,624.3,,,,
115,11/19/22 11h54min0s,24.255,635.1,,,,
116,11/19/22 11h55min0s,24.255,592.0,,,,
117,11/19/22 11h56min0s,24.158,538.2,,,,
118,11/19/22 11h57min0s,24.158,559.7,,,,
119,11/19/22 11h58min0s,24.158,505.9,,,,
120,11/19/22 11h59min0s,24.158,538.2,,,,
121,11/19/22 12h0min0s,24.158,549.0,,,,
122,11/19/22 12h1min0s,24.158,495.1,,,,
123,11/19/22 12h2min0s,24.158,505.9,,,,
124,11/19/22 12h3min0s,24.158,484.4,,,,
125,11/19/22 12h4min0s,24.158,495.1,,,,
126,11/19/22 12h5min0s,24.158,462.9,,,,
127,11/19/22 12h6min0s,24.158,495.1,,,,
128,11/19/22 12h7min0s,24.158,484.4,,,,
129,11/19/22 12h8min0s,24.158,527.4,,,,
130,11/19/22 12h9min0s,24.158,549.0,,,,
131,11/19/22 12h10min0s,24.255,559.7,,,,
132,11/19/22 12h11min0s,24.255,570.5,,,,
133,11/19/22 12h12min0s,24.255,559.7,,,,
134,11/19/22 12h13min0s,24.255,581.3,,,,
135,11/19/22 12h14min0s,24.255,581.3,,,,
136,11/19/22 12h15min0s,24.351,19289.0,,,,
137,11/19/22 12h16min0s,24.931,21355.7,,,,
138,11/19/22 12h17min0s,25.416,22044.6,,,,
139,11/19/22 12h18min0s,25.902,19289.0,,,,
140,11/19/22 12h19min0s,26.097,6544.5,,,,
141,11/19/22 12h20min0s,26.097,8266.7,,,,
142,11/19/22 12h21min0s,26.000,3961.1,,,,
143,11/19/22 12h22min0s,26.000,4994.5,,,,
144,11/19/22 12h23min0s,26.097,19289.0,,,,
145,11/19/22 12h24min0s,26.390,19977.9,,,,
146,11/19/22 12h25min0s,26.585,5511.1,,,,
147,11/19/22 12h26min0s,26.390,172.2,,,,
148,11/19/22 12h27min0s,26.292,1108.7,,,,
149,11/19/22 12h28min0s,26.292,6544.5,,,,
150,11/19/22 12h29min0s,26.390,5166.7,,,,
151,11/19/22 12h30min0s,26.390,2238.9,,,,
152,11/19/22 12h31min0s,26.292,301.4,,,,
153,11/19/22 12h32min0s,26.195,366.0,,,,
154,11/19/22 12h33min0s,26.195,344.4,,,,
155,11/19/22 12h34min0s,26.195,979.5,,,,
156,11/19/22 12h35min0s,26.195,1119.5,,,,
157,11/19/22 12h36min0s,26.195,2669.5,,,,
158,11/19/22 12h37min0s,26.390,7233.4,,,,
159,11/19/22 12h38min0s,26.488,3100.0,,,,
160,11/19/22 12h39min0s,26.390,8611.2,,,,
161,11/19/22 12h40min0s,26.488,7577.8,,,,
162,11/19/22 12h41min0s,26.488,8611.2,,,,
163,11/19/22 12h42min0s,26.488,3272.2,,,,
164,11/19/22 12h43min0s,26.488,3272.2,,,,
165,11/19/22 12h44min0s,26.488,3272.2,,,,
166,11/19/22 12h45min0s,26.390,3100.0,,,,
167,11/19/22 12h46min0s,26.390,2927.8,,,,
168,11/19/22 12h47min0s,26.390,2927.8,,,,
169,11/19/22 12h48min0s,26.390,2927.8,,,,
170,11/19/22 12h49min0s,26.390,2755.6,,,,
171,11/19/22 12h50min0s,26.390,2755.6,,,,
172,11/19/22 12h51min0s,26.390,2755.6,,,,
173,11/19/22 12h52min0s,26.390,2755.6,,,,
174,11/19/22 12h53min0s,26.390,2755.6,,,,
175,11/19/22 12h54min0s,26.390,2669.5,,,,
176,11/19/22 12h55min0s,26.390,2755.6,,,,
177,11/19/22 12h56min0s,26.390,2669.5,,,,
178,11/19/22 12h57min0s,26.390,2497.2,,,,
179,11/19/22 12h58min0s,26.390,2583.4,,,,
180,11/19/22 12h59min0s,26.390,2583.4,,,,
181,11/19/22 01h0min0s,26.390,2497.2,,,,
182,11/19/22 01h1min0s,26.390,2411.1,,,,
183,11/19/22 01h2min0s,26.390,2411.1,,,,
184,11/19/22 01h3min0s,26.390,2497.2,,,,
185,11/19/22 01h4min0s,26.390,2411.1,,,,
186,11/19/22 01h5min0s,26.390,2497.2,,,,
187,11/19/22 01h6min0s,26.390,2583.4,,,,
188,11/19/22 01h7min0s,26.390,2583.4,,,,
189,11/19/22 01h8min0s,26.390,2411.1,,,,
190,11/19/22 01h9min0s,26.390,2238.9,,,,
191,11/19/22 01h10min0s,26.390,2066.7,,,,
192,11/19/22 01h11min0s,26.390,1980.6,,,,
193,11/19/22 01h12min0s,26.390,1894.5,,,,
194,11/19/22 01h13min0s,26.390,1808.3,,,,
195,11/19/22 01h14min0s,26.292,1808.3,,,,
196,11/19/22 01h15min0s,26.292,1722.2,,,,
