"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, Lux (LGR S/N: 20055113, SEN S/N: 20055113)","Anfitrião Ligado (LGR S/N: 20055113)","Acoplador Ligado (LGR S/N: 20055113)","Parado (LGR S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
1,11/21/22 10h0min0s,25.416,5511.1,,,,
2,11/21/22 10h1min0s,25.513,6200.0,,,,
3,11/21/22 10h2min0s,25.513,5166.7,,,,
4,11/21/22 10h3min0s,25.513,5166.7,,,,
5,11/21/22 10h4min0s,25.513,5338.9,,,,
6,11/21/22 10h5min0s,25.513,4994.5,,,,
7,11/21/22 10h6min0s,25.513,4822.3,,,,
8,11/21/22 10h7min0s,25.610,4650.0,,,,
9,11/21/22 10h8min0s,25.513,4822.3,,,,
10,11/21/22 10h9min0s,25.513,5166.7,,,,
11,11/21/22 10h10min0s,25.610,5511.1,,,,
12,11/21/22 10h11min0s,25.610,5166.7,,,,
13,11/21/22 10h12min0s,25.610,4305.6,,,,
14,11/21/22 10h13min0s,25.610,3788.9,,,,
15,11/21/22 10h14min0s,25.513,3961.1,,,,
16,11/21/22 10h15min0s,25.513,5166.7,,,,
17,11/21/22 10h16min0s,25.513,5511.1,,,,
18,11/21/22 10h17min0s,25.513,6200.0,,,,
19,11/21/22 10h18min0s,25.610,6200.0,,,,
20,11/21/22 10h19min0s,25.610,6200.0,,,,
21,11/21/22 10h20min0s,25.610,6200.0,,,,
22,11/21/22 10h21min0s,25.610,5338.9,,,,
23,11/21/22 10h22min0s,25.610,4650.0,,,,
24,11/21/22 10h23min0s,25.610,4477.8,,,,
25,11/21/22 10h24min0s,25.610,3272.2,,,,
26,11/21/22 10h25min0s,25.610,4477.8,,,,
27,11/21/22 10h26min0s,25.610,6200.0,,,,
28,11/21/22 10h27min0s,25.610,7233.4,,,,
29,11/21/22 10h28min0s,25.708,7577.8,,,,
