"Título do Desenho: controle 2"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20320690, SEN S/N: 20320690)","Intensidade, Lux (LGR S/N: 20320690, SEN S/N: 20320690)","Máx.: Temperatura, °C (LGR S/N: 20320690)","Acoplador Ligado (LGR S/N: 20320690)","Acoplador Desligado (LGR S/N: 20320690)","Anfitrião Ligado (LGR S/N: 20320690)","Parado (LGR S/N: 20320690)","Fim Do Ficheiro (LGR S/N: 20320690)"
1,11/17/22 11h0min0s,26.781,1722.2,42.758,,,,,
2,11/17/22 11h10min0s,35.864,12400.1,,,,,,
3,11/17/22 11h20min0s,42.758,11022.3,,,,,,
4,11/17/22 11h30min0s,46.083,10677.8,46.083,,,,,
5,11/17/22 11h40min0s,43.238,8266.7,,,,,,
6,11/17/22 11h48min17s,,,,Registado,,,,
7,11/17/22 11h48min18s,,,,,Registado,,,
8,11/17/22 11h50min0s,27.272,19977.9,,,,,,
9,11/17/22 12h0min0s,27.665,24800.2,28.159,,,,,
10,11/17/22 12h10min0s,27.961,28933.5,,,,,,
11,11/17/22 12h20min0s,28.159,27555.7,,,,,,
12,11/17/22 12h30min0s,28.159,27555.7,28.159,,,,,
13,11/17/22 12h40min0s,28.060,23422.4,,,,,,
14,11/17/22 12h50min0s,27.961,20666.8,,,,,,
15,11/17/22 01h0min0s,28.060,24800.2,28.060,,,,,
16,11/17/22 01h10min0s,27.075,0.0,,,,,,
17,11/17/22 01h20min0s,26.879,0.0,,,,,,
18,11/17/22 01h30min0s,26.977,0.0,26.977,,,,,
19,11/17/22 01h40min0s,26.977,0.0,,,,,,
20,11/17/22 01h50min0s,26.977,0.0,,,,,,
21,11/17/22 02h0min0s,27.075,0.0,27.173,,,,,
22,11/17/22 02h10min0s,27.075,0.0,,,,,,
23,11/17/22 02h20min0s,27.173,10.8,,,,,,
24,11/17/22 02h30min0s,26.781,43.1,26.781,,,,,
25,11/17/22 02h40min0s,26.488,150.7,,,,,,
26,11/17/22 02h50min0s,25.708,32.3,,,,,,
27,11/17/22 03h0min0s,25.222,150.7,25.610,,,,,
28,11/17/22 03h10min0s,25.028,75.3,,,,,,
29,11/17/22 03h20min0s,25.610,409.0,,,,,,
30,11/17/22 03h30min0s,26.000,118.4,26.585,,,,,
31,11/17/22 03h40min0s,26.488,193.8,,,,,,
32,11/17/22 03h50min0s,26.585,161.5,,,,,,
33,11/17/22 04h0min0s,26.585,86.1,26.585,,,,,
34,11/17/22 04h10min0s,26.390,64.6,,,,,,
35,11/17/22 04h20min0s,26.292,86.1,,,,,,
36,11/17/22 04h30min0s,26.390,75.3,26.585,,,,,
37,11/17/22 04h40min0s,26.488,129.2,,,,,,
38,11/17/22 04h50min0s,26.585,53.8,,,,,,
39,11/17/22 05h0min0s,26.781,64.6,26.781,,,,,
40,11/17/22 05h10min0s,26.781,43.1,,,,,,
41,11/17/22 05h20min0s,26.781,43.1,,,,,,
42,11/17/22 05h30min0s,26.879,21.5,26.879,,,,,
43,11/17/22 05h40min0s,26.781,10.8,,,,,,
44,11/17/22 05h50min0s,26.781,10.8,,,,,,
45,11/17/22 06h0min0s,26.781,10.8,26.781,,,,,
46,11/17/22 06h10min0s,26.781,10.8,,,,,,
47,11/17/22 06h20min0s,26.585,0.0,,,,,,
48,11/17/22 06h30min0s,26.585,0.0,26.585,,,,,
49,11/17/22 06h40min0s,26.585,0.0,,,,,,
50,11/17/22 06h50min0s,26.488,0.0,,,,,,
51,11/17/22 07h0min0s,26.585,0.0,26.585,,,,,
52,11/17/22 07h10min0s,26.488,0.0,,,,,,
53,11/17/22 07h20min0s,26.390,0.0,,,,,,
54,11/17/22 07h30min0s,26.390,0.0,26.390,,,,,
55,11/17/22 07h40min0s,26.292,0.0,,,,,,
56,11/17/22 07h44min38s,,,,Registado,,,,
57,11/17/22 07h44min47s,,,,,,Registado,,
58,11/17/22 07h45min0s,,,,,,,Registado,Registado
