"Título do Desenho: controle 4"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055112, SEN S/N: 20055112)","Intensidade, Lux (LGR S/N: 20055112, SEN S/N: 20055112)","Acoplador Ligado (LGR S/N: 20055112)","Anfitrião Ligado (LGR S/N: 20055112)","Parado (LGR S/N: 20055112)","Fim Do Ficheiro (LGR S/N: 20055112)"
1,11/19/22 10h0min0s,24.158,1894.5,,,,
2,11/19/22 10h1min0s,24.255,1894.5,,,,
3,11/19/22 10h2min0s,24.158,1808.3,,,,
4,11/19/22 10h3min0s,24.158,1722.2,,,,
5,11/19/22 10h4min0s,24.158,1227.1,,,,
6,11/19/22 10h5min0s,24.158,1270.1,,,,
7,11/19/22 10h6min0s,24.158,1550.0,,,,
8,11/19/22 10h7min0s,24.158,1550.0,,,,
9,11/19/22 10h8min0s,24.255,1463.9,,,,
10,11/19/22 10h9min0s,24.255,1463.9,,,,
11,11/19/22 10h10min0s,24.351,1463.9,,,,
12,11/19/22 10h11min0s,24.351,1463.9,,,,
13,11/19/22 10h12min0s,24.448,1377.8,,,,
14,11/19/22 10h13min0s,24.448,1463.9,,,,
15,11/19/22 10h14min0s,24.351,1377.8,,,,
16,11/19/22 10h15min0s,24.351,1248.6,,,,
17,11/19/22 10h16min0s,24.351,1162.5,,,,
18,11/19/22 10h17min0s,24.351,958.0,,,,
19,11/19/22 10h18min0s,24.351,904.2,,,,
20,11/19/22 10h19min0s,24.255,958.0,,,,
21,11/19/22 10h20min0s,24.255,958.0,,,,
22,11/19/22 10h21min0s,24.158,1022.6,,,,
23,11/19/22 10h22min0s,24.158,1033.3,,,,
24,11/19/22 10h23min0s,24.062,1011.8,,,,
25,11/19/22 10h24min0s,24.062,936.5,,,,
26,11/19/22 10h25min0s,23.966,882.6,,,,
27,11/19/22 10h26min0s,23.966,818.1,,,,
28,11/19/22 10h27min0s,23.966,753.5,,,,
29,11/19/22 10h28min0s,23.869,742.7,,,,
30,11/19/22 10h29min0s,23.869,699.7,,,,
31,11/19/22 10h30min0s,23.869,731.9,,,,
32,11/19/22 10h31min0s,23.773,731.9,,,,
33,11/19/22 10h32min0s,23.773,796.5,,,,
34,11/19/22 10h33min0s,23.773,796.5,,,,
35,11/19/22 10h34min0s,23.773,775.0,,,,
36,11/19/22 10h35min0s,23.773,742.7,,,,
37,11/19/22 10h36min0s,23.773,742.7,,,,
38,11/19/22 10h37min0s,23.773,721.2,,,,
39,11/19/22 10h38min0s,23.773,731.9,,,,
40,11/19/22 10h39min0s,23.773,678.1,,,,
41,11/19/22 10h40min0s,23.773,581.3,,,,
42,11/19/22 10h41min0s,23.677,581.3,,,,
43,11/19/22 10h42min0s,23.677,581.3,,,,
44,11/19/22 10h43min0s,23.677,570.5,,,,
45,11/19/22 10h44min0s,23.677,602.8,,,,
46,11/19/22 10h45min0s,23.677,645.8,,,,
47,11/19/22 10h46min0s,23.677,699.7,,,,
48,11/19/22 10h47min0s,23.677,721.2,,,,
49,11/19/22 10h48min0s,23.677,742.7,,,,
50,11/19/22 10h49min0s,23.677,742.7,,,,
51,11/19/22 10h50min0s,23.773,656.6,,,,
52,11/19/22 10h51min0s,23.773,613.5,,,,
53,11/19/22 10h52min0s,23.773,635.1,,,,
54,11/19/22 10h53min0s,23.773,602.8,,,,
55,11/19/22 10h54min0s,23.773,721.2,,,,
56,11/19/22 10h55min0s,23.773,710.4,,,,
57,11/19/22 10h56min0s,23.773,764.2,,,,
58,11/19/22 10h57min0s,23.773,785.8,,,,
59,11/19/22 10h58min0s,23.773,807.3,,,,
60,11/19/22 10h59min0s,23.773,828.8,,,,
61,11/19/22 11h0min0s,23.773,828.8,,,,
62,11/19/22 11h1min0s,23.773,839.6,,,,
63,11/19/22 11h2min0s,23.773,807.3,,,,
64,11/19/22 11h3min0s,23.773,882.6,,,,
65,11/19/22 11h4min0s,23.869,914.9,,,,
66,11/19/22 11h5min0s,23.869,1011.8,,,,
67,11/19/22 11h6min0s,23.869,979.5,,,,
68,11/19/22 11h7min0s,23.966,990.3,,,,
69,11/19/22 11h8min0s,23.966,1001.0,,,,
70,11/19/22 11h9min0s,23.966,968.8,,,,
71,11/19/22 11h10min0s,23.966,925.7,,,,
72,11/19/22 11h11min0s,23.966,904.2,,,,
73,11/19/22 11h12min0s,23.966,882.6,,,,
74,11/19/22 11h13min0s,23.966,850.4,,,,
75,11/19/22 11h14min0s,23.966,839.6,,,,
76,11/19/22 11h15min0s,23.966,828.8,,,,
77,11/19/22 11h16min0s,23.966,818.1,,,,
78,11/19/22 11h17min0s,23.966,828.8,,,,
79,11/19/22 11h18min0s,23.966,828.8,,,,
80,11/19/22 11h19min0s,23.966,893.4,,,,
81,11/19/22 11h20min0s,23.966,936.5,,,,
82,11/19/22 11h21min0s,23.966,936.5,,,,
83,11/19/22 11h22min0s,23.966,979.5,,,,
