"Título do Desenho: controle 4"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055112, SEN S/N: 20055112)","Intensidade, Lux (LGR S/N: 20055112, SEN S/N: 20055112)","Acoplador Desligado (LGR S/N: 20055112)","Acoplador Ligado (LGR S/N: 20055112)","Anfitrião Ligado (LGR S/N: 20055112)","Parado (LGR S/N: 20055112)","Fim Do Ficheiro (LGR S/N: 20055112)"
1,11/22/22 08h8min1s,27.075,139.9,,,,,
2,11/22/22 08h8min8s,,,Registado,,,,
3,11/22/22 08h9min1s,27.468,1237.9,,,,,
4,11/22/22 08h10min1s,27.567,3961.1,,,,,
5,11/22/22 08h11min1s,27.370,4477.8,,,,,
6,11/22/22 08h12min1s,27.272,5511.1,,,,,
7,11/22/22 08h13min1s,26.977,2152.8,,,,,
8,11/22/22 08h14min1s,26.683,3444.5,,,,,
9,11/22/22 08h15min1s,26.488,1636.1,,,,,
10,11/22/22 08h16min1s,26.390,2066.7,,,,,
11,11/22/22 08h17min1s,26.292,2411.1,,,,,
12,11/22/22 08h18min1s,26.292,1894.5,,,,,
13,11/22/22 08h19min1s,26.195,1808.3,,,,,
14,11/22/22 08h20min1s,26.195,1894.5,,,,,
15,11/22/22 08h21min1s,26.195,1980.6,,,,,
16,11/22/22 08h22min1s,26.195,2238.9,,,,,
17,11/22/22 08h23min1s,26.195,2152.8,,,,,
18,11/22/22 08h24min1s,26.195,2152.8,,,,,
19,11/22/22 08h25min1s,26.195,2927.8,,,,,
20,11/22/22 08h26min1s,26.195,1722.2,,,,,
21,11/22/22 08h27min1s,26.195,1722.2,,,,,
22,11/22/22 08h28min1s,26.195,1894.5,,,,,
23,11/22/22 08h29min1s,26.195,2583.4,,,,,
24,11/22/22 08h30min1s,26.292,1808.3,,,,,
25,11/22/22 08h31min1s,26.195,1722.2,,,,,
26,11/22/22 08h32min1s,26.195,1636.1,,,,,
27,11/22/22 08h33min1s,26.195,1980.6,,,,,
28,11/22/22 08h34min1s,26.292,7233.4,,,,,
